      Time   Sample #  Type  Sub Chan  Num	Aux
    0:01.266      162     N    0    0    0
    0:02.578      330     N    0    0    0
    0:03.883      497     N    0    0    0
    0:05.203      666     N    0    0    0
    0:06.531      836     N    0    0    0
    0:07.828     1002     N    0    0    0
    0:09.148     1171     N    0    0    0
    0:10.438     1336     N    0    0    0
    0:11.727     1501     N    0    0    0
    0:12.953     1658     N    0    0    0
    0:14.141     1810     N    0    0    0
    0:15.195     1945     N    0    0    0
    0:16.227     2077     N    0    0    0
    0:17.195     2201     N    0    0    0
    0:18.125     2320     N    0    0    0
    0:19.094     2444     N    0    0    0
    0:20.031     2564     N    0    0    0
    0:20.945     2681     N    0    0    0
    0:21.875     2800     N    0    0    0
    0:22.789     2917     N    0    0    0
    0:23.711     3035     N    0    0    0
    0:24.625     3152     N    0    0    0
    0:25.539     3269     N    0    0    0
    0:26.469     3388     N    0    0    0
    0:27.391     3506     N    0    0    0
    0:28.328     3626     N    0    0    0
    0:29.250     3744     N    0    0    0
    0:30.195     3865     N    0    0    0
    0:31.125     3984     N    0    0    0
    0:32.086     4107     N    0    0    0
    0:33.047     4230     N    0    0    0
    0:33.992     4351     N    0    0    0
    0:34.938     4472     N    0    0    0
    0:35.875     4592     N    0    0    0
    0:36.820     4713     N    0    0    0
    0:37.750     4832     N    0    0    0
    0:38.688     4952     N    0    0    0
    0:39.625     5072     N    0    0    0
    0:40.570     5193     N    0    0    0
    0:41.500     5312     N    0    0    0
    0:42.422     5430     N    0    0    0
    0:43.344     5548     N    0    0    0
    0:44.250     5664     N    0    0    0
    0:45.164     5781     N    0    0    0
    0:46.094     5900     N    0    0    0
    0:47.023     6019     N    0    0    0
    0:47.953     6138     N    0    0    0
    0:48.891     6258     N    0    0    0
    0:49.836     6379     N    0    0    0
    0:50.578     6474     S    0    0    0
    0:51.734     6622     N    0    0    0
    0:52.797     6758     N    0    0    0
    0:53.742     6879     N    0    0    0
    0:54.688     7000     N    0    0    0
    0:55.633     7121     N    0    0    0
    0:56.539     7237     N    0    0    0
    0:57.438     7352     N    0    0    0
    0:58.328     7466     N    0    0    0
    0:59.203     7578     N    0    0    0
    1:00.094     7692     N    0    0    0
    1:00.922     7798     N    0    0    0
    1:01.758     7905     N    0    0    0
    1:02.578     8010     N    0    0    0
    1:03.383     8113     N    0    0    0
    1:04.133     8209     N    0    0    0
    1:04.969     8316     N    0    0    0
    1:05.758     8417     N    0    0    0
    1:06.484     8510     N    0    0    0
    1:07.328     8618     N    0    0    0
    1:08.109     8718     N    0    0    0
    1:08.883     8817     N    0    0    0
    1:09.656     8916     N    0    0    0
    1:10.422     9014     N    0    0    0
    1:11.195     9113     N    0    0    0
    1:11.961     9211     N    0    0    0
    1:12.711     9307     N    0    0    0
    1:13.461     9403     N    0    0    0
    1:14.219     9500     N    0    0    0
    1:14.969     9596     N    0    0    0
    1:15.711     9691     N    0    0    0
    1:16.484     9790     N    0    0    0
    1:17.211     9883     N    0    0    0
    1:17.984     9982     N    0    0    0
    1:18.742    10079     N    0    0    0
    1:19.516    10178     N    0    0    0
    1:20.297    10278     N    0    0    0
    1:21.078    10378     N    0    0    0
    1:21.875    10480     N    0    0    0
    1:22.672    10582     N    0    0    0
    1:23.469    10684     N    0    0    0
    1:24.250    10784     N    0    0    0
    1:25.047    10886     N    0    0    0
    1:25.836    10987     N    0    0    0
    1:26.633    11089     N    0    0    0
    1:27.430    11191     N    0    0    0
    1:28.266    11298     N    0    0    0
    1:29.109    11406     N    0    0    0
    1:29.969    11516     N    0    0    0
    1:30.820    11625     N    0    0    0
    1:31.688    11736     N    0    0    0
    1:32.563    11848     N    0    0    0
    1:33.406    11956     N    0    0    0
    1:34.313    12072     N    0    0    0
    1:35.211    12187     N    0    0    0
    1:36.117    12303     N    0    0    0
    1:37.023    12419     N    0    0    0
    1:37.914    12533     N    0    0    0
    1:38.672    12630     N    0    0    0
    1:39.648    12755     N    0    0    0
    1:40.500    12864     N    0    0    0
    1:41.383    12977     N    0    0    0
    1:42.234    13086     N    0    0    0
    1:43.055    13191     N    0    0    0
    1:43.883    13297     N    0    0    0
    1:44.703    13402     N    0    0    0
    1:45.547    13510     N    0    0    0
    1:46.391    13618     N    0    0    0
    1:47.242    13727     N    0    0    0
    1:48.109    13838     N    0    0    0
    1:48.977    13949     N    0    0    0
    1:49.828    14058     N    0    0    0
    1:50.703    14170     N    0    0    0
    1:51.523    14275     N    0    0    0
    1:52.445    14393     N    0    0    0
    1:53.320    14505     N    0    0    0
    1:54.195    14617     N    0    0    0
    1:55.063    14728     N    0    0    0
    1:55.891    14834     N    0    0    0
    1:56.742    14943     N    0    0    0
    1:57.586    15051     N    0    0    0
    1:58.398    15155     N    0    0    0
    1:59.234    15262     N    0    0    0
    2:00.070    15369     N    0    0    0
    2:00.906    15476     N    0    0    0
    2:01.758    15585     N    0    0    0
    2:02.586    15691     N    0    0    0
    2:03.414    15797     N    0    0    0
    2:04.250    15904     N    0    0    0
    2:05.063    16008     N    0    0    0
    2:05.883    16113     N    0    0    0
    2:06.664    16213     N    0    0    0
    2:07.531    16324     N    0    0    0
    2:08.352    16429     N    0    0    0
    2:09.211    16539     N    0    0    0
    2:10.086    16651     N    0    0    0
    2:10.930    16759     N    0    0    0
    2:11.813    16872     N    0    0    0
    2:12.758    16993     N    0    0    0
    2:13.625    17104     N    0    0    0
    2:14.477    17213     N    0    0    0
    2:15.344    17324     N    0    0    0
    2:16.188    17432     N    0    0    0
    2:17.047    17542     N    0    0    0
    2:17.945    17657     N    0    0    0
    2:18.773    17763     N    0    0    0
    2:19.555    17863     N    0    0    0
    2:20.430    17975     N    0    0    0
    2:21.273    18083     N    0    0    0
    2:22.156    18196     N    0    0    0
    2:23.000    18304     N    0    0    0
    2:23.828    18410     N    0    0    0
    2:24.680    18519     N    0    0    0
    2:25.539    18629     N    0    0    0
    2:26.406    18740     N    0    0    0
    2:27.539    18885     N    0    0    0
    2:28.813    19048     N    0    0    0
    2:30.000    19200     N    0    0    0
    2:31.148    19347     N    0    0    0
    2:32.320    19497     N    0    0    0
    2:33.469    19644     N    0    0    0
    2:34.609    19790     N    0    0    0
    2:35.758    19937     N    0    0    0
    2:36.734    20062     N    0    0    0
    2:37.867    20207     N    0    0    0
    2:38.820    20329     N    0    0    0
    2:39.883    20465     N    0    0    0
    2:40.844    20588     N    0    0    0
    2:41.961    20731     N    0    0    0
    2:42.922    20854     N    0    0    0
    2:44.031    20996     N    0    0    0
    2:45.172    21142     N    0    0    0
    2:46.055    21255     N    0    0    0
    2:47.000    21376     N    0    0    0
    2:47.938    21496     N    0    0    0
    2:48.844    21612     N    0    0    0
    2:49.719    21724     N    0    0    0
    2:50.570    21833     N    0    0    0
    2:51.430    21943     N    0    0    0
    2:52.281    22052     N    0    0    0
    2:53.094    22156     N    0    0    0
    2:53.930    22263     N    0    0    0
    2:54.781    22372     N    0    0    0
    2:55.625    22480     N    0    0    0
    2:56.477    22589     N    0    0    0
    2:57.313    22696     N    0    0    0
    2:58.156    22804     N    0    0    0
    2:59.008    22913     N    0    0    0
    2:59.852    23021     N    0    0    0
    3:00.664    23125     N    0    0    0
    3:01.516    23234     N    0    0    0
