      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.273       35     N    0    0    0
    0:00.906      116     N    0    0    0
    0:01.539      197     N    0    0    0
    0:02.242      287     N    0    0    0
    0:03.070      393     N    0    0    0
    0:03.758      481     N    0    0    0
    0:04.469      572     N    0    0    0
    0:05.188      664     N    0    0    0
    0:05.820      745     N    0    0    0
    0:06.531      836     N    0    0    0
    0:07.203      922     N    0    0    0
    0:07.820     1001     N    0    0    0
    0:08.586     1099     N    0    0    0
    0:09.391     1202     N    0    0    0
    0:09.813     1256     V    0    0    0
    0:10.461     1339     N    0    0    0
    0:11.219     1436     N    0    0    0
    0:11.805     1511     N    0    0    0
    0:12.461     1595     N    0    0    0
    0:13.172     1686     N    0    0    0
    0:13.797     1766     N    0    0    0
    0:14.594     1868     N    0    0    0
    0:15.250     1952     N    0    0    0
    0:16.109     2062     N    0    0    0
    0:16.828     2154     N    0    0    0
    0:17.594     2252     N    0    0    0
    0:18.648     2387     N    0    0    0
    0:19.398     2483     N    0    0    0
    0:20.125     2576     N    0    0    0
    0:20.633     2641     N    0    0    0
    0:21.305     2727     N    0    0    0
    0:22.016     2818     N    0    0    0
    0:22.703     2906     N    0    0    0
    0:23.375     2992     N    0    0    0
    0:24.273     3107     N    0    0    0
    0:25.094     3212     N    0    0    0
    0:25.820     3305     N    0    0    0
    0:26.438     3384     N    0    0    0
    0:27.211     3483     N    0    0    0
    0:27.992     3583     N    0    0    0
    0:28.688     3672     N    0    0    0
    0:29.188     3736     N    0    0    0
    0:29.820     3817     N    0    0    0
    0:30.656     3924     N    0    0    0
    0:31.219     3996     N    0    0    0
    0:31.891     4082     N    0    0    0
    0:32.539     4165     N    0    0    0
    0:33.133     4241     N    0    0    0
    0:33.938     4344     N    0    0    0
    0:34.570     4425     N    0    0    0
    0:35.250     4512     N    0    0    0
    0:35.898     4595     N    0    0    0
    0:36.484     4670     N    0    0    0
    0:37.281     4772     N    0    0    0
    0:37.852     4845     N    0    0    0
    0:38.438     4920     N    0    0    0
    0:39.086     5003     N    0    0    0
    0:39.695     5081     N    0    0    0
    0:40.359     5166     N    0    0    0
    0:40.945     5241     N    0    0    0
    0:41.602     5325     N    0    0    0
    0:42.219     5404     N    0    0    0
    0:42.953     5498     N    0    0    0
    0:43.570     5577     N    0    0    0
    0:44.391     5682     N    0    0    0
    0:45.148     5779     N    0    0    0
    0:45.906     5876     N    0    0    0
    0:46.563     5960     N    0    0    0
    0:47.273     6051     N    0    0    0
    0:47.977     6141     N    0    0    0
    0:48.711     6235     N    0    0    0
    0:49.320     6313     N    0    0    0
    0:49.867     6383     N    0    0    0
    0:50.508     6465     N    0    0    0
    0:51.102     6541     N    0    0    0
    0:51.766     6626     N    0    0    0
    0:52.289     6693     N    0    0    0
    0:52.930     6775     N    0    0    0
    0:53.609     6862     N    0    0    0
    0:54.094     6924     N    0    0    0
    0:54.836     7019     N    0    0    0
    0:55.367     7087     N    0    0    0
    0:55.953     7162     N    0    0    0
    0:56.453     7226     N    0    0    0
    0:57.164     7317     N    0    0    0
    0:57.813     7400     N    0    0    0
    0:58.820     7529     N    0    0    0
    0:59.586     7627     N    0    0    0
    1:00.469     7740     N    0    0    0
    1:01.086     7819     N    0    0    0
    1:01.648     7891     N    0    0    0
    1:02.266     7970     N    0    0    0
    1:03.086     8075     N    0    0    0
    1:04.008     8193     N    0    0    0
    1:04.773     8291     N    0    0    0
    1:05.617     8399     N    0    0    0
    1:06.281     8484     N    0    0    0
    1:06.930     8567     N    0    0    0
    1:07.828     8682     N    0    0    0
    1:08.438     8760     N    0    0    0
    1:09.086     8843     N    0    0    0
    1:09.719     8924     N    0    0    0
    1:10.367     9007     N    0    0    0
    1:11.055     9095     N    0    0    0
    1:11.781     9188     N    0    0    0
    1:12.430     9271     N    0    0    0
    1:13.055     9351     N    0    0    0
    1:13.852     9453     N    0    0    0
    1:14.383     9521     V    0    0    0
    1:15.086     9611     N    0    0    0
    1:15.906     9716     N    0    0    0
    1:16.422     9782     N    0    0    0
    1:17.281     9892     N    0    0    0
    1:17.945     9977     N    0    0    0
    1:18.609    10062     N    0    0    0
    1:19.328    10154     N    0    0    0
    1:20.039    10245     N    0    0    0
    1:20.656    10324     N    0    0    0
    1:21.375    10416     N    0    0    0
    1:22.164    10517     N    0    0    0
    1:22.883    10609     N    0    0    0
    1:23.422    10678     N    0    0    0
    1:23.922    10742     N    0    0    0
    1:24.516    10818     N    0    0    0
    1:25.266    10914     N    0    0    0
    1:25.992    11007     N    0    0    0
    1:26.727    11101     N    0    0    0
    1:27.664    11221     N    0    0    0
    1:28.281    11300     N    0    0    0
    1:28.992    11391     N    0    0    0
    1:29.508    11457     N    0    0    0
    1:30.305    11559     N    0    0    0
    1:30.938    11640     N    0    0    0
    1:31.438    11704     N    0    0    0
    1:32.227    11805     N    0    0    0
    1:32.781    11876     N    0    0    0
    1:33.406    11956     N    0    0    0
    1:34.016    12034     N    0    0    0
    1:34.789    12133     N    0    0    0
    1:35.414    12213     N    0    0    0
    1:36.117    12303     N    0    0    0
    1:36.734    12382     N    0    0    0
    1:37.344    12460     N    0    0    0
    1:38.063    12552     N    0    0    0
    1:38.656    12628     N    0    0    0
    1:39.227    12701     N    0    0    0
    1:39.844    12780     N    0    0    0
    1:40.594    12876     N    0    0    0
    1:41.211    12955     N    0    0    0
    1:41.859    13038     N    0    0    0
    1:42.453    13114     N    0    0    0
    1:43.258    13217     N    0    0    0
    1:44.031    13316     N    0    0    0
    1:44.633    13393     N    0    0    0
    1:45.289    13477     N    0    0    0
    1:45.945    13561     N    0    0    0
    1:46.703    13658     N    0    0    0
    1:47.484    13758     N    0    0    0
    1:48.008    13825     N    0    0    0
    1:48.594    13900     N    0    0    0
    1:49.281    13988     N    0    0    0
    1:49.953    14074     N    0    0    0
    1:50.648    14163     N    0    0    0
    1:51.180    14231     N    0    0    0
    1:51.781    14308     N    0    0    0
    1:52.523    14403     N    0    0    0
    1:53.336    14507     N    0    0    0
    1:54.031    14596     N    0    0    0
    1:54.680    14679     N    0    0    0
    1:55.383    14769     N    0    0    0
    1:56.094    14860     N    0    0    0
    1:56.727    14941     N    0    0    0
    1:57.484    15038     N    0    0    0
    1:58.164    15125     N    0    0    0
    1:58.930    15223     N    0    0    0
    1:59.563    15304     N    0    0    0
    2:00.172    15382     N    0    0    0
    2:00.742    15455     N    0    0    0
    2:01.320    15529     N    0    0    0
    2:02.141    15634     N    0    0    0
    2:02.648    15699     N    0    0    0
    2:03.289    15781     N    0    0    0
    2:03.797    15846     V    0    0    0
    2:04.609    15950     N    0    0    0
    2:05.352    16045     N    0    0    0
    2:06.000    16128     N    0    0    0
    2:06.688    16216     N    0    0    0
    2:07.234    16286     N    0    0    0
    2:08.000    16384     N    0    0    0
    2:08.648    16467     N    0    0    0
    2:09.375    16560     N    0    0    0
    2:10.039    16645     N    0    0    0
    2:10.617    16719     N    0    0    0
    2:11.234    16798     N    0    0    0
    2:12.180    16919     N    0    0    0
    2:12.766    16994     N    0    0    0
    2:13.547    17094     N    0    0    0
    2:14.227    17181     N    0    0    0
    2:14.836    17259     N    0    0    0
    2:15.391    17330     N    0    0    0
    2:15.977    17405     N    0    0    0
    2:16.914    17525     N    0    0    0
    2:17.906    17652     N    0    0    0
    2:18.633    17745     N    0    0    0
    2:19.117    17807     N    0    0    0
    2:19.523    17859     V    0    0    0
    2:20.406    17972     N    0    0    0
    2:21.055    18055     N    0    0    0
    2:21.625    18128     N    0    0    0
    2:22.578    18250     N    0    0    0
    2:23.148    18323     N    0    0    0
    2:23.680    18391     N    0    0    0
    2:24.227    18461     N    0    0    0
    2:24.781    18532     N    0    0    0
    2:25.313    18600     N    0    0    0
    2:25.961    18683     N    0    0    0
    2:26.594    18764     N    0    0    0
    2:26.984    18814     V    0    0    0
    2:27.633    18897     N    0    0    0
    2:28.117    18959     N    0    0    0
    2:28.711    19035     N    0    0    0
    2:29.383    19121     N    0    0    0
    2:30.008    19201     N    0    0    0
    2:30.688    19288     N    0    0    0
    2:31.523    19395     N    0    0    0
    2:32.078    19466     V    0    0    0
    2:32.945    19577     N    0    0    0
    2:33.594    19660     N    0    0    0
    2:34.367    19759     N    0    0    0
    2:34.922    19830     N    0    0    0
    2:35.664    19925     N    0    0    0
    2:36.430    20023     N    0    0    0
    2:36.984    20094     N    0    0    0
    2:37.672    20182     N    0    0    0
    2:38.656    20308     N    0    0    0
    2:39.227    20381     N    0    0    0
    2:39.758    20449     N    0    0    0
    2:40.289    20517     N    0    0    0
    2:40.984    20606     N    0    0    0
    2:41.695    20697     N    0    0    0
    2:42.422    20790     N    0    0    0
    2:43.109    20878     N    0    0    0
    2:43.766    20962     N    0    0    0
    2:44.555    21063     N    0    0    0
    2:45.289    21157     N    0    0    0
    2:45.938    21240     N    0    0    0
    2:46.609    21326     N    0    0    0
    2:47.258    21409     N    0    0    0
    2:47.898    21491     N    0    0    0
    2:48.594    21580     N    0    0    0
    2:49.094    21644     N    0    0    0
    2:49.789    21733     N    0    0    0
    2:50.406    21812     N    0    0    0
    2:51.148    21907     N    0    0    0
    2:51.828    21994     N    0    0    0
    2:52.500    22080     N    0    0    0
    2:53.086    22155     N    0    0    0
    2:53.672    22230     N    0    0    0
    2:54.313    22312     N    0    0    0
    2:55.008    22401     N    0    0    0
    2:55.633    22481     N    0    0    0
    2:56.266    22562     N    0    0    0
    2:57.055    22663     N    0    0    0
    2:57.602    22733     N    0    0    0
    2:58.117    22799     N    0    0    0
    2:58.875    22896     N    0    0    0
    2:59.602    22989     N    0    0    0
    3:00.367    23087     N    0    0    0
    3:01.031    23172     N    0    0    0
    3:01.688    23256     N    0    0    0
    3:02.344    23340     N    0    0    0
    3:03.133    23441     N    0    0    0
    3:03.844    23532     N    0    0    0
    3:04.523    23619     N    0    0    0
    3:05.180    23703     N    0    0    0
    3:05.789    23781     N    0    0    0
    3:06.531    23876     N    0    0    0
    3:07.195    23961     N    0    0    0
    3:07.867    24047     N    0    0    0
    3:08.516    24130     N    0    0    0
    3:09.258    24225     N    0    0    0
    3:10.023    24323     N    0    0    0
    3:10.648    24403     N    0    0    0
    3:11.422    24502     N    0    0    0
    3:11.953    24570     V    0    0    0
    3:12.633    24657     N    0    0    0
    3:13.281    24740     N    0    0    0
    3:13.898    24819     N    0    0    0
    3:14.813    24936     N    0    0    0
    3:15.633    25041     N    0    0    0
    3:16.305    25127     N    0    0    0
    3:16.898    25203     N    0    0    0
    3:17.563    25288     N    0    0    0
    3:18.180    25367     N    0    0    0
    3:18.859    25454     N    0    0    0
    3:19.656    25556     N    0    0    0
    3:20.344    25644     N    0    0    0
    3:20.961    25723     N    0    0    0
    3:21.703    25818     N    0    0    0
    3:22.297    25894     N    0    0    0
    3:22.906    25972     N    0    0    0
    3:23.586    26059     N    0    0    0
    3:23.992    26111     V    0    0    0
    3:24.734    26206     N    0    0    0
    3:25.422    26294     N    0    0    0
    3:26.008    26369     N    0    0    0
    3:26.805    26471     N    0    0    0
    3:27.367    26543     N    0    0    0
    3:28.211    26651     N    0    0    0
    3:28.922    26742     N    0    0    0
    3:29.680    26839     N    0    0    0
    3:30.617    26959     N    0    0    0
    3:31.313    27048     N    0    0    0
    3:32.039    27141     V    0    0    0
    3:32.391    27186     V    0    0    0
    3:33.188    27288     N    0    0    0
    3:33.859    27374     N    0    0    0
    3:34.602    27469     N    0    0    0
    3:35.258    27553     N    0    0    0
    3:35.953    27642     N    0    0    0
    3:36.508    27713     N    0    0    0
    3:37.313    27816     N    0    0    0
    3:37.859    27886     N    0    0    0
    3:38.586    27979     N    0    0    0
    3:39.047    28038     V    0    0    0
    3:39.813    28136     N    0    0    0
    3:40.313    28200     N    0    0    0
    3:41.039    28293     N    0    0    0
    3:41.563    28360     N    0    0    0
    3:42.672    28502     V    0    0    0
    3:43.422    28598     N    0    0    0
    3:44.195    28697     N    0    0    0
    3:44.867    28783     N    0    0    0
    3:45.594    28876     N    0    0    0
    3:46.398    28979     N    0    0    0
    3:46.984    29054     N    0    0    0
    3:47.766    29154     N    0    0    0
    3:48.445    29241     N    0    0    0
    3:49.297    29350     N    0    0    0
    3:49.938    29432     N    0    0    0
    3:50.578    29514     N    0    0    0
    3:51.211    29595     N    0    0    0
    3:51.836    29675     V    0    0    0
    3:52.539    29765     N    0    0    0
    3:53.086    29835     N    0    0    0
    3:53.695    29913     N    0    0    0
    3:54.352    29997     N    0    0    0
    3:55.000    30080     N    0    0    0
    3:55.617    30159     N    0    0    0
    3:56.164    30229     N    0    0    0
    3:56.750    30304     N    0    0    0
    3:57.375    30384     N    0    0    0
    3:58.125    30480     N    0    0    0
    3:58.688    30552     N    0    0    0
    3:59.602    30669     N    0    0    0
    4:00.242    30751     N    0    0    0
    4:00.945    30841     N    0    0    0
    4:01.563    30920     N    0    0    0
    4:02.258    31009     N    0    0    0
    4:02.805    31079     N    0    0    0
    4:03.344    31148     N    0    0    0
    4:03.992    31231     N    0    0    0
    4:04.703    31322     N    0    0    0
    4:05.531    31428     N    0    0    0
    4:06.156    31508     N    0    0    0
    4:06.820    31593     N    0    0    0
    4:07.555    31687     N    0    0    0
    4:08.281    31780     N    0    0    0
    4:08.945    31865     N    0    0    0
    4:09.570    31945     N    0    0    0
    4:10.195    32025     N    0    0    0
    4:10.977    32125     N    0    0    0
    4:11.641    32210     N    0    0    0
    4:12.289    32293     N    0    0    0
    4:13.070    32393     N    0    0    0
    4:13.781    32484     N    0    0    0
    4:14.352    32557     N    0    0    0
    4:14.969    32636     N    0    0    0
    4:15.531    32708     N    0    0    0
    4:16.156    32788     N    0    0    0
    4:16.820    32873     N    0    0    0
    4:17.578    32970     N    0    0    0
    4:18.086    33035     N    0    0    0
    4:18.875    33136     N    0    0    0
    4:19.594    33228     N    0    0    0
    4:20.289    33317     N    0    0    0
    4:20.914    33397     N    0    0    0
    4:21.656    33492     N    0    0    0
    4:22.398    33587     N    0    0    0
    4:22.813    33640     V    0    0    0
    4:23.766    33762     N    0    0    0
    4:24.367    33839     N    0    0    0
    4:25.078    33930     N    0    0    0
    4:25.805    34023     N    0    0    0
    4:26.313    34088     N    0    0    0
    4:26.852    34157     N    0    0    0
    4:27.484    34238     N    0    0    0
    4:28.359    34350     N    0    0    0
    4:29.000    34432     N    0    0    0
    4:29.688    34520     N    0    0    0
    4:30.375    34608     N    0    0    0
    4:31.055    34695     N    0    0    0
    4:31.828    34794     N    0    0    0
    4:32.406    34868     N    0    0    0
    4:33.102    34957     N    0    0    0
    4:33.766    35042     N    0    0    0
    4:34.602    35149     N    0    0    0
    4:35.141    35218     N    0    0    0
    4:35.734    35294     N    0    0    0
    4:36.391    35378     N    0    0    0
    4:37.281    35492     N    0    0    0
    4:37.797    35558     N    0    0    0
    4:38.609    35662     N    0    0    0
    4:39.250    35744     N    0    0    0
    4:39.891    35826     N    0    0    0
    4:40.406    35892     N    0    0    0
    4:41.078    35978     N    0    0    0
    4:41.633    36049     N    0    0    0
    4:42.320    36137     N    0    0    0
    4:43.078    36234     N    0    0    0
    4:43.688    36312     N    0    0    0
    4:44.234    36382     N    0    0    0
    4:44.875    36464     N    0    0    0
    4:45.555    36551     N    0    0    0
    4:46.156    36628     N    0    0    0
    4:46.953    36730     N    0    0    0
    4:47.852    36845     N    0    0    0
    4:48.531    36932     N    0    0    0
    4:49.156    37012     N    0    0    0
    4:50.070    37129     N    0    0    0
    4:50.570    37193     N    0    0    0
    4:51.234    37278     N    0    0    0
    4:51.922    37366     N    0    0    0
    4:52.523    37443     N    0    0    0
    4:53.367    37551     N    0    0    0
    4:53.969    37628     N    0    0    0
    4:54.461    37691     N    0    0    0
    4:55.297    37798     N    0    0    0
    4:56.109    37902     N    0    0    0
    4:56.734    37982     N    0    0    0
    4:57.500    38080     N    0    0    0
    4:58.023    38147     N    0    0    0
    4:58.680    38231     N    0    0    0
    4:59.180    38295     N    0    0    0
    4:59.813    38376     N    0    0    0
    5:00.789    38501     N    0    0    0
    5:01.422    38582     N    0    0    0
    5:02.211    38683     N    0    0    0
    5:03.031    38788     N    0    0    0
    5:03.695    38873     N    0    0    0
    5:04.352    38957     N    0    0    0
    5:04.875    39024     N    0    0    0
    5:05.609    39118     N    0    0    0
    5:06.234    39198     N    0    0    0
    5:06.938    39288     N    0    0    0
    5:07.648    39379     N    0    0    0
    5:08.336    39467     N    0    0    0
    5:08.969    39548     N    0    0    0
    5:09.594    39628     N    0    0    0
    5:10.109    39694     N    0    0    0
    5:10.688    39768     N    0    0    0
    5:11.305    39847     N    0    0    0
    5:12.031    39940     N    0    0    0
    5:12.664    40021     N    0    0    0
    5:13.328    40106     N    0    0    0
    5:14.242    40223     N    0    0    0
    5:14.875    40304     N    0    0    0
    5:15.547    40390     N    0    0    0
    5:16.398    40499     N    0    0    0
    5:17.188    40600     N    0    0    0
    5:17.867    40687     N    0    0    0
    5:18.539    40773     N    0    0    0
    5:19.305    40871     N    0    0    0
    5:19.945    40953     N    0    0    0
    5:20.492    41023     N    0    0    0
    5:21.406    41140     N    0    0    0
    5:21.945    41209     N    0    0    0
    5:22.742    41311     N    0    0    0
    5:23.445    41401     N    0    0    0
    5:24.164    41493     N    0    0    0
    5:24.820    41577     N    0    0    0
    5:25.383    41649     N    0    0    0
    5:26.219    41756     N    0    0    0
    5:26.813    41832     N    0    0    0
    5:27.508    41921     N    0    0    0
    5:28.133    42001     N    0    0    0
    5:28.766    42082     N    0    0    0
    5:29.422    42166     N    0    0    0
    5:30.344    42284     N    0    0    0
    5:31.078    42378     N    0    0    0
    5:31.750    42464     N    0    0    0
    5:32.703    42586     N    0    0    0
    5:33.289    42661     N    0    0    0
    5:33.961    42747     N    0    0    0
    5:34.641    42834     N    0    0    0
    5:35.328    42922     N    0    0    0
    5:36.094    43020     N    0    0    0
    5:36.813    43112     N    0    0    0
    5:37.531    43204     N    0    0    0
    5:38.227    43293     N    0    0    0
    5:38.898    43379     N    0    0    0
    5:39.633    43473     N    0    0    0
    5:40.281    43556     N    0    0    0
    5:40.891    43634     N    0    0    0
    5:41.625    43728     N    0    0    0
    5:42.367    43823     N    0    0    0
    5:42.813    43880     V    0    0    0
    5:43.547    43974     N    0    0    0
    5:44.063    44040     N    0    0    0
    5:44.711    44123     N    0    0    0
    5:45.375    44208     N    0    0    0
    5:46.234    44318     N    0    0    0
    5:46.828    44394     N    0    0    0
    5:47.398    44467     N    0    0    0
    5:48.102    44557     N    0    0    0
    5:48.734    44638     N    0    0    0
    5:49.328    44714     N    0    0    0
    5:49.984    44798     N    0    0    0
    5:50.750    44896     N    0    0    0
    5:51.547    44998     N    0    0    0
    5:52.258    45089     N    0    0    0
    5:52.859    45166     N    0    0    0
    5:53.500    45248     N    0    0    0
    5:54.492    45375     N    0    0    0
    5:55.305    45479     N    0    0    0
    5:56.000    45568     N    0    0    0
    5:56.727    45661     N    0    0    0
    5:57.406    45748     N    0    0    0
    5:58.133    45841     N    0    0    0
    5:58.883    45937     N    0    0    0
    5:59.484    46014     N    0    0    0
    6:00.063    46088     N    0    0    0
    6:00.727    46173     N    0    0    0
    6:01.258    46241     N    0    0    0
    6:02.031    46340     N    0    0    0
    6:02.719    46428     N    0    0    0
    6:03.320    46505     N    0    0    0
    6:04.023    46595     N    0    0    0
    6:04.844    46700     N    0    0    0
    6:05.508    46785     N    0    0    0
    6:06.352    46893     N    0    0    0
    6:07.133    46993     N    0    0    0
    6:07.844    47084     N    0    0    0
    6:08.516    47170     N    0    0    0
    6:09.172    47254     N    0    0    0
    6:09.867    47343     N    0    0    0
    6:10.633    47441     N    0    0    0
    6:11.336    47531     N    0    0    0
    6:11.977    47613     N    0    0    0
    6:12.594    47692     N    0    0    0
    6:13.234    47774     N    0    0    0
    6:14.125    47888     N    0    0    0
    6:15.078    48010     N    0    0    0
    6:15.844    48108     N    0    0    0
    6:16.367    48175     N    0    0    0
    6:16.953    48250     N    0    0    0
    6:17.609    48334     N    0    0    0
    6:18.320    48425     N    0    0    0
    6:19.039    48517     N    0    0    0
    6:19.883    48625     N    0    0    0
    6:20.516    48706     N    0    0    0
    6:21.070    48777     N    0    0    0
    6:21.688    48856     N    0    0    0
    6:22.453    48954     N    0    0    0
